job_id,queue_id,arrival_time,time_in_queue,time_in_service,response_time,turnaround_time
j0,q0,5,0,4,0,4
j1,q0,7,2,10,2,12
j2,q0,9,10,10,10,20
j3,q0,12,17,10,17,27
j4,q0,15,24,10,24,34
j5,q0,18,31,10,31,41
j6,q0,22,37,10,37,47
j7,q0,25,44,10,44,54
j8,q0,30,49,10,49,59
j9,q0,36,53,10,53,63
j10,q0,40,59,10,59,69
j11,q0,45,64,10,64,74
j12,q0,51,68,10,68,78
j13,q0,58,71,10,71,81
j14,q0,63,76,10,76,86
j15,q0,70,79,10,79,89
j16,q0,78,81,10,81,91
j17,q0,83,86,10,86,96
j18,q0,90,89,10,89,99
j19,q0,96,93,10,93,103
j20,q0,103,96,10,96,106
j21,q0,110,99,10,99,109
j22,q0,116,103,10,103,113
j23,q0,121,108,10,108,118
j24,q0,127,112,10,112,122
j25,q0,132,117,10,117,127
j26,q0,138,121,10,121,131
j27,q0,145,124,10,124,134
j28,q0,151,128,10,128,138
j29,q0,158,131,10,131,141
j30,q0,163,136,10,136,146
j31,q0,170,139,10,139,149
j32,q0,176,143,10,143,153
j33,q0,182,147,10,147,157
j34,q0,187,152,10,152,162
j35,q0,193,156,10,156,166
j36,q0,199,160,10,160,170
j37,q0,205,164,10,164,174
j38,q0,210,169,10,169,179
j39,q0,217,172,10,172,182
j40,q0,223,176,10,176,186
j41,q0,230,179,10,179,189
j42,q0,236,183,10,183,193
j43,q0,243,186,10,186,196
j44,q0,250,189,10,189,199
j45,q0,258,191,10,191,201
j46,q0,265,194,10,194,204
j47,q0,272,197,10,197,207
j48,q0,279,200,10,200,210
j49,q0,285,204,10,204,214
j50,q0,293,206,10,206,216
