job_id,arrival,tasks
j0,0,"[""0: W 10"", ""1: W 10""]"
j1,0,"[""0: W 10"", ""1: W 10""]"
j2,0,"[""0: W 10"", ""1: W 10""]"
j3,0,"[""0: W 10"", ""1: W 10""]"
j4,1,"[""0: W 10"", ""1: W 10""]"
j5,2,"[""0: W 10"", ""1: W 10""]"
j6,2,"[""0: W 10"", ""1: W 10""]"
j7,2,"[""0: W 10"", ""1: W 10""]"
j8,3,"[""0: W 10"", ""1: W 10""]"
j9,3,"[""0: W 10"", ""1: W 10""]"
j10,3,"[""0: W 10"", ""1: W 10""]"
j11,4,"[""0: W 10"", ""1: W 10""]"
j12,5,"[""0: W 10"", ""1: W 10""]"
j13,5,"[""0: W 10"", ""1: W 10""]"
