job_id,arrival,tasks
j0,0,"[""0: W 10"", ""1: W 10""]"
j1,1,"[""0: W 10"", ""1: W 10""]"
j2,1,"[""0: W 10"", ""1: W 10""]"
j3,1,"[""0: W 10"", ""1: W 10""]"
j4,1,"[""0: W 10"", ""1: W 10""]"
j5,1,"[""0: W 10"", ""1: W 10""]"
j6,1,"[""0: W 10"", ""1: W 10""]"
j7,1,"[""0: W 10"", ""1: W 10""]"
j8,1,"[""0: W 10"", ""1: W 10""]"
j9,2,"[""0: W 10"", ""1: W 10""]"
j10,2,"[""0: W 10"", ""1: W 10""]"
j11,2,"[""0: W 10"", ""1: W 10""]"
j12,3,"[""0: W 10"", ""1: W 10""]"
j13,3,"[""0: W 10"", ""1: W 10""]"
j14,7,"[""0: W 10"", ""1: W 10""]"
j15,7,"[""0: W 10"", ""1: W 10""]"
j16,7,"[""0: W 10"", ""1: W 10""]"
j17,7,"[""0: W 10"", ""1: W 10""]"
j18,7,"[""0: W 10"", ""1: W 10""]"
j19,8,"[""0: W 10"", ""1: W 10""]"
j20,8,"[""0: W 10"", ""1: W 10""]"
j21,9,"[""0: W 10"", ""1: W 10""]"
j22,9,"[""0: W 10"", ""1: W 10""]"
j23,9,"[""0: W 10"", ""1: W 10""]"
j24,11,"[""0: W 10"", ""1: W 10""]"
j25,11,"[""0: W 10"", ""1: W 10""]"
j26,11,"[""0: W 10"", ""1: W 10""]"
j27,11,"[""0: W 10"", ""1: W 10""]"
j28,11,"[""0: W 10"", ""1: W 10""]"
j29,11,"[""0: W 10"", ""1: W 10""]"
j30,11,"[""0: W 10"", ""1: W 10""]"
j31,11,"[""0: W 10"", ""1: W 10""]"
j32,11,"[""0: W 10"", ""1: W 10""]"
j33,12,"[""0: W 10"", ""1: W 10""]"
j34,12,"[""0: W 10"", ""1: W 10""]"
j35,12,"[""0: W 10"", ""1: W 10""]"
j36,12,"[""0: W 10"", ""1: W 10""]"
j37,12,"[""0: W 10"", ""1: W 10""]"
j38,16,"[""0: W 10"", ""1: W 10""]"
j39,17,"[""0: W 10"", ""1: W 10""]"
j40,17,"[""0: W 10"", ""1: W 10""]"
j41,18,"[""0: W 10"", ""1: W 10""]"
j42,20,"[""0: W 10"", ""1: W 10""]"
j43,20,"[""0: W 10"", ""1: W 10""]"
j44,23,"[""0: W 10"", ""1: W 10""]"
j45,24,"[""0: W 10"", ""1: W 10""]"
j46,25,"[""0: W 10"", ""1: W 10""]"
j47,25,"[""0: W 10"", ""1: W 10""]"
j48,25,"[""0: W 10"", ""1: W 10""]"
j49,25,"[""0: W 10"", ""1: W 10""]"
j50,27,"[""0: W 10"", ""1: W 10""]"
j51,27,"[""0: W 10"", ""1: W 10""]"
j52,28,"[""0: W 10"", ""1: W 10""]"
j53,28,"[""0: W 10"", ""1: W 10""]"
j54,30,"[""0: W 10"", ""1: W 10""]"
j55,30,"[""0: W 10"", ""1: W 10""]"
j56,33,"[""0: W 10"", ""1: W 10""]"
j57,33,"[""0: W 10"", ""1: W 10""]"
j58,33,"[""0: W 10"", ""1: W 10""]"
j59,33,"[""0: W 10"", ""1: W 10""]"
j60,33,"[""0: W 10"", ""1: W 10""]"
j61,33,"[""0: W 10"", ""1: W 10""]"
j62,33,"[""0: W 10"", ""1: W 10""]"
j63,33,"[""0: W 10"", ""1: W 10""]"
j64,34,"[""0: W 10"", ""1: W 10""]"
j65,34,"[""0: W 10"", ""1: W 10""]"
j66,34,"[""0: W 10"", ""1: W 10""]"
j67,34,"[""0: W 10"", ""1: W 10""]"
j68,34,"[""0: W 10"", ""1: W 10""]"
j69,34,"[""0: W 10"", ""1: W 10""]"
j70,34,"[""0: W 10"", ""1: W 10""]"
j71,34,"[""0: W 10"", ""1: W 10""]"
j72,34,"[""0: W 10"", ""1: W 10""]"
j73,35,"[""0: W 10"", ""1: W 10""]"
j74,35,"[""0: W 10"", ""1: W 10""]"
j75,35,"[""0: W 10"", ""1: W 10""]"
j76,35,"[""0: W 10"", ""1: W 10""]"
j77,36,"[""0: W 10"", ""1: W 10""]"
j78,38,"[""0: W 10"", ""1: W 10""]"
j79,38,"[""0: W 10"", ""1: W 10""]"
j80,38,"[""0: W 10"", ""1: W 10""]"
j81,39,"[""0: W 10"", ""1: W 10""]"
j82,41,"[""0: W 10"", ""1: W 10""]"
j83,43,"[""0: W 10"", ""1: W 10""]"
j84,43,"[""0: W 10"", ""1: W 10""]"
j85,43,"[""0: W 10"", ""1: W 10""]"
j86,43,"[""0: W 10"", ""1: W 10""]"
j87,43,"[""0: W 10"", ""1: W 10""]"
j88,43,"[""0: W 10"", ""1: W 10""]"
j89,45,"[""0: W 10"", ""1: W 10""]"
j90,45,"[""0: W 10"", ""1: W 10""]"
j91,45,"[""0: W 10"", ""1: W 10""]"
j92,46,"[""0: W 10"", ""1: W 10""]"
j93,47,"[""0: W 10"", ""1: W 10""]"
j94,47,"[""0: W 10"", ""1: W 10""]"
j95,48,"[""0: W 10"", ""1: W 10""]"
j96,48,"[""0: W 10"", ""1: W 10""]"
j97,50,"[""0: W 10"", ""1: W 10""]"
j98,50,"[""0: W 10"", ""1: W 10""]"
j99,50,"[""0: W 10"", ""1: W 10""]"
j100,50,"[""0: W 10"", ""1: W 10""]"
j101,50,"[""0: W 10"", ""1: W 10""]"
j102,50,"[""0: W 10"", ""1: W 10""]"
j103,50,"[""0: W 10"", ""1: W 10""]"
j104,50,"[""0: W 10"", ""1: W 10""]"
j105,50,"[""0: W 10"", ""1: W 10""]"
j106,51,"[""0: W 10"", ""1: W 10""]"
j107,51,"[""0: W 10"", ""1: W 10""]"
j108,51,"[""0: W 10"", ""1: W 10""]"
j109,51,"[""0: W 10"", ""1: W 10""]"
j110,52,"[""0: W 10"", ""1: W 10""]"
j111,52,"[""0: W 10"", ""1: W 10""]"
j112,52,"[""0: W 10"", ""1: W 10""]"
j113,52,"[""0: W 10"", ""1: W 10""]"
j114,52,"[""0: W 10"", ""1: W 10""]"
j115,52,"[""0: W 10"", ""1: W 10""]"
j116,52,"[""0: W 10"", ""1: W 10""]"
j117,53,"[""0: W 10"", ""1: W 10""]"
j118,53,"[""0: W 10"", ""1: W 10""]"
j119,53,"[""0: W 10"", ""1: W 10""]"
j120,53,"[""0: W 10"", ""1: W 10""]"
j121,53,"[""0: W 10"", ""1: W 10""]"
j122,53,"[""0: W 10"", ""1: W 10""]"
j123,54,"[""0: W 10"", ""1: W 10""]"
j124,54,"[""0: W 10"", ""1: W 10""]"
j125,55,"[""0: W 10"", ""1: W 10""]"
j126,55,"[""0: W 10"", ""1: W 10""]"
j127,55,"[""0: W 10"", ""1: W 10""]"
j128,55,"[""0: W 10"", ""1: W 10""]"
j129,55,"[""0: W 10"", ""1: W 10""]"
j130,55,"[""0: W 10"", ""1: W 10""]"
j131,55,"[""0: W 10"", ""1: W 10""]"
j132,59,"[""0: W 10"", ""1: W 10""]"
j133,60,"[""0: W 10"", ""1: W 10""]"
j134,62,"[""0: W 10"", ""1: W 10""]"
j135,62,"[""0: W 10"", ""1: W 10""]"
j136,62,"[""0: W 10"", ""1: W 10""]"
j137,62,"[""0: W 10"", ""1: W 10""]"
j138,63,"[""0: W 10"", ""1: W 10""]"
j139,65,"[""0: W 10"", ""1: W 10""]"
j140,65,"[""0: W 10"", ""1: W 10""]"
j141,67,"[""0: W 10"", ""1: W 10""]"
j142,67,"[""0: W 10"", ""1: W 10""]"
j143,67,"[""0: W 10"", ""1: W 10""]"
j144,67,"[""0: W 10"", ""1: W 10""]"
j145,69,"[""0: W 10"", ""1: W 10""]"
j146,69,"[""0: W 10"", ""1: W 10""]"
j147,69,"[""0: W 10"", ""1: W 10""]"
j148,69,"[""0: W 10"", ""1: W 10""]"
j149,69,"[""0: W 10"", ""1: W 10""]"
j150,69,"[""0: W 10"", ""1: W 10""]"
j151,69,"[""0: W 10"", ""1: W 10""]"
j152,69,"[""0: W 10"", ""1: W 10""]"
j153,69,"[""0: W 10"", ""1: W 10""]"
j154,69,"[""0: W 10"", ""1: W 10""]"
j155,69,"[""0: W 10"", ""1: W 10""]"
j156,69,"[""0: W 10"", ""1: W 10""]"
j157,70,"[""0: W 10"", ""1: W 10""]"
j158,70,"[""0: W 10"", ""1: W 10""]"
j159,70,"[""0: W 10"", ""1: W 10""]"
j160,70,"[""0: W 10"", ""1: W 10""]"
j161,73,"[""0: W 10"", ""1: W 10""]"
j162,73,"[""0: W 10"", ""1: W 10""]"
j163,73,"[""0: W 10"", ""1: W 10""]"
j164,73,"[""0: W 10"", ""1: W 10""]"
j165,74,"[""0: W 10"", ""1: W 10""]"
j166,74,"[""0: W 10"", ""1: W 10""]"
j167,74,"[""0: W 10"", ""1: W 10""]"
j168,75,"[""0: W 10"", ""1: W 10""]"
j169,75,"[""0: W 10"", ""1: W 10""]"
j170,75,"[""0: W 10"", ""1: W 10""]"
j171,76,"[""0: W 10"", ""1: W 10""]"
j172,76,"[""0: W 10"", ""1: W 10""]"
j173,76,"[""0: W 10"", ""1: W 10""]"
j174,76,"[""0: W 10"", ""1: W 10""]"
j175,78,"[""0: W 10"", ""1: W 10""]"
j176,80,"[""0: W 10"", ""1: W 10""]"
j177,80,"[""0: W 10"", ""1: W 10""]"
j178,80,"[""0: W 10"", ""1: W 10""]"
j179,80,"[""0: W 10"", ""1: W 10""]"
j180,80,"[""0: W 10"", ""1: W 10""]"
j181,81,"[""0: W 10"", ""1: W 10""]"
j182,81,"[""0: W 10"", ""1: W 10""]"
j183,82,"[""0: W 10"", ""1: W 10""]"
j184,84,"[""0: W 10"", ""1: W 10""]"
j185,85,"[""0: W 10"", ""1: W 10""]"
j186,86,"[""0: W 10"", ""1: W 10""]"
j187,86,"[""0: W 10"", ""1: W 10""]"
j188,86,"[""0: W 10"", ""1: W 10""]"
j189,87,"[""0: W 10"", ""1: W 10""]"
j190,87,"[""0: W 10"", ""1: W 10""]"
j191,88,"[""0: W 10"", ""1: W 10""]"
j192,88,"[""0: W 10"", ""1: W 10""]"
j193,88,"[""0: W 10"", ""1: W 10""]"
j194,88,"[""0: W 10"", ""1: W 10""]"
j195,88,"[""0: W 10"", ""1: W 10""]"
j196,88,"[""0: W 10"", ""1: W 10""]"
j197,89,"[""0: W 10"", ""1: W 10""]"
j198,91,"[""0: W 10"", ""1: W 10""]"
j199,91,"[""0: W 10"", ""1: W 10""]"
j200,91,"[""0: W 10"", ""1: W 10""]"
j201,92,"[""0: W 10"", ""1: W 10""]"
j202,92,"[""0: W 10"", ""1: W 10""]"
j203,92,"[""0: W 10"", ""1: W 10""]"
j204,92,"[""0: W 10"", ""1: W 10""]"
j205,93,"[""0: W 10"", ""1: W 10""]"
j206,93,"[""0: W 10"", ""1: W 10""]"
j207,94,"[""0: W 10"", ""1: W 10""]"
j208,94,"[""0: W 10"", ""1: W 10""]"
j209,94,"[""0: W 10"", ""1: W 10""]"
j210,94,"[""0: W 10"", ""1: W 10""]"
j211,95,"[""0: W 10"", ""1: W 10""]"
j212,96,"[""0: W 10"", ""1: W 10""]"
j213,96,"[""0: W 10"", ""1: W 10""]"
j214,97,"[""0: W 10"", ""1: W 10""]"
