job_id,arrival,tasks
j0,0,"[""0: W 10"", ""1: W 10""]"
j1,0,"[""0: W 10"", ""1: W 10""]"
j2,0,"[""0: W 10"", ""1: W 10""]"
j3,0,"[""0: W 10"", ""1: W 10""]"
j4,1,"[""0: W 10"", ""1: W 10""]"
j5,2,"[""0: W 10"", ""1: W 10""]"
j6,2,"[""0: W 10"", ""1: W 10""]"
j7,2,"[""0: W 10"", ""1: W 10""]"
j8,3,"[""0: W 10"", ""1: W 10""]"
j9,3,"[""0: W 10"", ""1: W 10""]"
j10,3,"[""0: W 10"", ""1: W 10""]"
j11,4,"[""0: W 10"", ""1: W 10""]"
j12,4,"[""0: W 10"", ""1: W 10""]"
j13,5,"[""0: W 10"", ""1: W 10""]"
j14,5,"[""0: W 10"", ""1: W 10""]"
j15,5,"[""0: W 10"", ""1: W 10""]"
j16,6,"[""0: W 10"", ""1: W 10""]"
j17,6,"[""0: W 10"", ""1: W 10""]"
j18,7,"[""0: W 10"", ""1: W 10""]"
j19,7,"[""0: W 10"", ""1: W 10""]"
j20,7,"[""0: W 10"", ""1: W 10""]"
j21,9,"[""0: W 10"", ""1: W 10""]"
j22,9,"[""0: W 10"", ""1: W 10""]"
j23,10,"[""0: W 10"", ""1: W 10""]"
j24,10,"[""0: W 10"", ""1: W 10""]"
j25,10,"[""0: W 10"", ""1: W 10""]"
j26,10,"[""0: W 10"", ""1: W 10""]"
j27,11,"[""0: W 10"", ""1: W 10""]"
j28,11,"[""0: W 10"", ""1: W 10""]"
j29,12,"[""0: W 10"", ""1: W 10""]"
j30,13,"[""0: W 10"", ""1: W 10""]"
j31,13,"[""0: W 10"", ""1: W 10""]"
j32,13,"[""0: W 10"", ""1: W 10""]"
j33,14,"[""0: W 10"", ""1: W 10""]"
j34,14,"[""0: W 10"", ""1: W 10""]"
j35,14,"[""0: W 10"", ""1: W 10""]"
j36,14,"[""0: W 10"", ""1: W 10""]"
j37,15,"[""0: W 10"", ""1: W 10""]"
j38,15,"[""0: W 10"", ""1: W 10""]"
j39,15,"[""0: W 10"", ""1: W 10""]"
j40,15,"[""0: W 10"", ""1: W 10""]"
j41,16,"[""0: W 10"", ""1: W 10""]"
j42,17,"[""0: W 10"", ""1: W 10""]"
j43,17,"[""0: W 10"", ""1: W 10""]"
j44,18,"[""0: W 10"", ""1: W 10""]"
j45,18,"[""0: W 10"", ""1: W 10""]"
j46,18,"[""0: W 10"", ""1: W 10""]"
j47,19,"[""0: W 10"", ""1: W 10""]"
j48,19,"[""0: W 10"", ""1: W 10""]"
j49,20,"[""0: W 10"", ""1: W 10""]"
j50,20,"[""0: W 10"", ""1: W 10""]"
j51,20,"[""0: W 10"", ""1: W 10""]"
j52,21,"[""0: W 10"", ""1: W 10""]"
j53,21,"[""0: W 10"", ""1: W 10""]"
j54,21,"[""0: W 10"", ""1: W 10""]"
j55,21,"[""0: W 10"", ""1: W 10""]"
j56,22,"[""0: W 10"", ""1: W 10""]"
j57,23,"[""0: W 10"", ""1: W 10""]"
j58,23,"[""0: W 10"", ""1: W 10""]"
j59,23,"[""0: W 10"", ""1: W 10""]"
j60,24,"[""0: W 10"", ""1: W 10""]"
j61,24,"[""0: W 10"", ""1: W 10""]"
j62,24,"[""0: W 10"", ""1: W 10""]"
j63,25,"[""0: W 10"", ""1: W 10""]"
j64,25,"[""0: W 10"", ""1: W 10""]"
j65,25,"[""0: W 10"", ""1: W 10""]"
j66,26,"[""0: W 10"", ""1: W 10""]"
j67,26,"[""0: W 10"", ""1: W 10""]"
j68,26,"[""0: W 10"", ""1: W 10""]"
