job_id,arrival,Tasks
j0,5,"[""0: W 10"", ""1: W 10""]"
j1,7,["1: W 10"]
j2,9,["1: W 10"]
j3,12,["1: W 10"]
j4,15,["1: W 10"]
j5,18,["1: W 10"]
j6,22,["1: W 10"]
j7,25,["1: W 10"]
j8,30,["1: W 10"]
j9,36,["1: W 10"]
j10,40,["1: W 10"]
j11,45,["1: W 10"]
j12,51,["1: W 10"]
j13,58,["1: W 10"]
j14,63,["1: W 10"]
j15,70,"[""0: W 10"", ""1: W 10""]"
j16,78,["1: W 10"]
j17,83,["1: W 10"]
j18,90,["1: W 10"]
j19,96,["1: W 10"]
j20,103,["1: W 10"]
j21,110,["1: W 10"]
j22,116,["1: W 10"]
j23,121,["1: W 10"]
j24,127,["1: W 10"]
j25,132,"[""0: W 10"", ""1: W 10""]"
j26,138,["1: W 10"]
j27,145,["1: W 10"]
j28,151,["1: W 10"]
j29,158,["1: W 10"]
j30,163,["1: W 10"]
j31,170,["1: W 10"]
j32,176,"[""0: W 10"", ""1: W 10""]"
j33,182,["1: W 10"]
j34,187,["1: W 10"]
j35,193,["1: W 10"]
j36,199,["1: W 10"]
j37,205,["1: W 10"]
j38,210,["1: W 10"]
j39,217,["1: W 10"]
j40,223,"[""0: W 10"", ""1: W 10""]"
j41,230,["1: W 10"]
j42,236,["1: W 10"]
j43,243,["1: W 10"]
j44,250,["1: W 10"]
j45,258,["1: W 10"]
j46,265,"[""0: W 10"", ""1: W 10""]"
j47,272,["1: W 10"]
j48,279,["1: W 10"]
j49,285,["1: W 10"]
j50,293,["1: W 10"]
