time-step,queue-sys-id,num-jobs-in-queue,num-jobs-in-service,num-of-errors
0,q0,4,1,0
1,q0,8,1,0
2,q0,14,1,0
3,q0,22,1,0
4,q0,26,1,0
5,q0,30,1,0
6,q0,38,1,0
7,q0,44,1,0
8,q0,48,1,0
9,q0,54,1,0
10,q0,58,1,0
11,q0,62,1,0
12,q0,67,1,0
13,q0,68,1,0
14,q0,69,1,0
15,q0,72,1,0
16,q0,74,1,0
17,q0,79,1,0
18,q0,82,1,0
19,q0,84,1,0
20,q0,91,1,0
21,q0,95,1,0
22,q0,100,1,0
23,q0,100,1,2
24,q0,100,1,5
25,q0,100,1,10
26,q0,100,1,12
27,q0,100,1,17
28,q0,100,1,20
29,q0,99,1,24
30,q0,100,1,26
31,q0,100,1,34
32,q0,100,1,38
33,q0,100,1,40
34,q0,100,1,46
35,q0,100,1,48
36,q0,100,1,53
37,q0,100,1,54
38,q0,100,1,56
39,q0,100,1,61
40,q0,100,1,67
41,q0,100,1,72
42,q0,100,1,76
43,q0,100,1,80
44,q0,100,1,82
45,q0,100,1,85
46,q0,100,1,89
47,q0,100,1,96
48,q0,100,1,101
49,q0,100,1,102
50,q0,100,1,107
51,q0,100,1,111
52,q0,100,1,114
53,q0,100,1,120
54,q0,100,1,127
55,q0,100,1,133
56,q0,100,1,136
57,q0,100,1,140
58,q0,100,1,145
59,q0,99,1,151
60,q0,100,1,154
61,q0,100,1,158
62,q0,100,1,160
63,q0,100,1,162
64,q0,100,1,168
65,q0,100,1,175
66,q0,100,1,179
67,q0,100,1,186
68,q0,100,1,191
69,q0,100,1,194
70,q0,100,1,199
71,q0,100,1,207
72,q0,100,1,211
73,q0,100,1,219
74,q0,100,1,219
75,q0,100,1,225
76,q0,100,1,230
77,q0,100,1,234
78,q0,100,1,239
79,q0,100,1,240
80,q0,100,1,244
81,q0,100,1,249
82,q0,100,1,256
83,q0,100,1,259
84,q0,100,1,262
85,q0,100,1,265
86,q0,100,1,271
87,q0,100,1,276
88,q0,100,1,279
89,q0,99,1,285
90,q0,100,1,289
91,q0,100,1,295
92,q0,100,1,298
93,q0,100,1,302
94,q0,100,1,306
95,q0,100,1,308
96,q0,100,1,313
97,q0,100,1,318
98,q0,100,1,323
99,q0,100,1,327
100,q0,100,1,329
101,q0,100,1,329
102,q0,100,1,329
103,q0,100,1,329
104,q0,100,1,329
105,q0,100,1,329
106,q0,100,1,329
107,q0,100,1,329
108,q0,100,1,329
109,q0,100,1,329
110,q0,100,1,329
111,q0,100,1,329
112,q0,100,1,329
113,q0,100,1,329
114,q0,100,1,329
115,q0,100,1,329
116,q0,100,1,329
117,q0,100,1,329
118,q0,100,1,329
119,q0,99,1,329
120,q0,99,1,329
121,q0,99,1,329
122,q0,99,1,329
123,q0,99,1,329
124,q0,99,1,329
125,q0,99,1,329
126,q0,99,1,329
127,q0,99,1,329
128,q0,99,1,329
129,q0,99,1,329
130,q0,99,1,329
131,q0,99,1,329
132,q0,99,1,329
133,q0,99,1,329
134,q0,99,1,329
135,q0,99,1,329
136,q0,99,1,329
137,q0,99,1,329
138,q0,99,1,329
139,q0,99,1,329
140,q0,99,1,329
141,q0,99,1,329
142,q0,99,1,329
143,q0,99,1,329
144,q0,99,1,329
145,q0,99,1,329
146,q0,99,1,329
147,q0,99,1,329
148,q0,99,1,329
149,q0,98,1,329
150,q0,98,1,329
151,q0,98,1,329
152,q0,98,1,329
153,q0,98,1,329
154,q0,98,1,329
155,q0,98,1,329
156,q0,98,1,329
157,q0,98,1,329
158,q0,98,1,329
159,q0,98,1,329
160,q0,98,1,329
161,q0,98,1,329
162,q0,98,1,329
163,q0,98,1,329
164,q0,98,1,329
165,q0,98,1,329
166,q0,98,1,329
167,q0,98,1,329
168,q0,98,1,329
169,q0,98,1,329
170,q0,98,1,329
171,q0,98,1,329
172,q0,98,1,329
173,q0,98,1,329
174,q0,98,1,329
175,q0,98,1,329
176,q0,98,1,329
177,q0,98,1,329
178,q0,98,1,329
179,q0,97,1,329
180,q0,97,1,329
181,q0,97,1,329
182,q0,97,1,329
183,q0,97,1,329
184,q0,97,1,329
185,q0,97,1,329
186,q0,97,1,329
187,q0,97,1,329
188,q0,97,1,329
189,q0,97,1,329
190,q0,97,1,329
191,q0,97,1,329
192,q0,97,1,329
193,q0,97,1,329
194,q0,97,1,329
195,q0,97,1,329
196,q0,97,1,329
197,q0,97,1,329
198,q0,97,1,329
199,q0,97,1,329
