job_id,arrival,tasks
j0,0,"[""0: W 10"", ""1: W 10""]"
j1,0,"[""0: W 10"", ""1: W 10""]"
j2,0,"[""0: W 10"", ""1: W 10""]"
j3,0,"[""0: W 10"", ""1: W 10""]"
j4,0,"[""0: W 10"", ""1: W 10""]"
j5,1,"[""0: W 10"", ""1: W 10""]"
j6,1,"[""0: W 10"", ""1: W 10""]"
j7,1,"[""0: W 10"", ""1: W 10""]"
j8,1,"[""0: W 10"", ""1: W 10""]"
j9,2,"[""0: W 10"", ""1: W 10""]"
j10,2,"[""0: W 10"", ""1: W 10""]"
j11,2,"[""0: W 10"", ""1: W 10""]"
j12,2,"[""0: W 10"", ""1: W 10""]"
j13,2,"[""0: W 10"", ""1: W 10""]"
j14,2,"[""0: W 10"", ""1: W 10""]"
j15,3,"[""0: W 10"", ""1: W 10""]"
j16,3,"[""0: W 10"", ""1: W 10""]"
j17,3,"[""0: W 10"", ""1: W 10""]"
j18,3,"[""0: W 10"", ""1: W 10""]"
j19,3,"[""0: W 10"", ""1: W 10""]"
j20,3,"[""0: W 10"", ""1: W 10""]"
j21,3,"[""0: W 10"", ""1: W 10""]"
j22,3,"[""0: W 10"", ""1: W 10""]"
j23,4,"[""0: W 10"", ""1: W 10""]"
j24,4,"[""0: W 10"", ""1: W 10""]"
j25,4,"[""0: W 10"", ""1: W 10""]"
j26,4,"[""0: W 10"", ""1: W 10""]"
j27,5,"[""0: W 10"", ""1: W 10""]"
j28,5,"[""0: W 10"", ""1: W 10""]"
j29,5,"[""0: W 10"", ""1: W 10""]"
j30,5,"[""0: W 10"", ""1: W 10""]"
j31,6,"[""0: W 10"", ""1: W 10""]"
j32,6,"[""0: W 10"", ""1: W 10""]"
j33,6,"[""0: W 10"", ""1: W 10""]"
j34,6,"[""0: W 10"", ""1: W 10""]"
j35,6,"[""0: W 10"", ""1: W 10""]"
j36,6,"[""0: W 10"", ""1: W 10""]"
j37,6,"[""0: W 10"", ""1: W 10""]"
j38,6,"[""0: W 10"", ""1: W 10""]"
j39,7,"[""0: W 10"", ""1: W 10""]"
j40,7,"[""0: W 10"", ""1: W 10""]"
j41,7,"[""0: W 10"", ""1: W 10""]"
j42,7,"[""0: W 10"", ""1: W 10""]"
j43,7,"[""0: W 10"", ""1: W 10""]"
j44,7,"[""0: W 10"", ""1: W 10""]"
j45,8,"[""0: W 10"", ""1: W 10""]"
j46,8,"[""0: W 10"", ""1: W 10""]"
j47,8,"[""0: W 10"", ""1: W 10""]"
j48,8,"[""0: W 10"", ""1: W 10""]"
j49,9,"[""0: W 10"", ""1: W 10""]"
j50,9,"[""0: W 10"", ""1: W 10""]"
j51,9,"[""0: W 10"", ""1: W 10""]"
j52,9,"[""0: W 10"", ""1: W 10""]"
j53,9,"[""0: W 10"", ""1: W 10""]"
j54,9,"[""0: W 10"", ""1: W 10""]"
j55,10,"[""0: W 10"", ""1: W 10""]"
j56,10,"[""0: W 10"", ""1: W 10""]"
j57,10,"[""0: W 10"", ""1: W 10""]"
j58,10,"[""0: W 10"", ""1: W 10""]"
j59,11,"[""0: W 10"", ""1: W 10""]"
j60,11,"[""0: W 10"", ""1: W 10""]"
j61,11,"[""0: W 10"", ""1: W 10""]"
j62,11,"[""0: W 10"", ""1: W 10""]"
j63,12,"[""0: W 10"", ""1: W 10""]"
j64,12,"[""0: W 10"", ""1: W 10""]"
j65,12,"[""0: W 10"", ""1: W 10""]"
j66,12,"[""0: W 10"", ""1: W 10""]"
j67,12,"[""0: W 10"", ""1: W 10""]"
j68,13,"[""0: W 10"", ""1: W 10""]"
