job_id,queue_id,arrival_time,time_in_queue,time_in_service,response_time,turnaround_time
j0,q0,5,0,4,0,4
j1,q0,7,2,10,2,12
j2,q0,9,10,10,10,20
j3,q0,12,17,10,17,27
j4,q0,15,24,10,24,34
j5,q0,18,31,10,31,41
j6,q0,22,37,10,37,47
j7,q0,25,44,10,44,54
j8,q0,30,49,10,49,59
j9,q0,36,53,10,53,63
j10,q0,40,59,10,59,69
j11,q0,45,64,10,64,74
j12,q0,51,68,10,68,78
j13,q0,58,71,10,71,81
j14,q0,63,76,10,76,86
j15,q0,70,79,10,79,89
j16,q0,78,81,10,81,91
j17,q0,83,86,10,86,96
j18,q0,90,89,10,89,99
j19,q0,96,93,10,93,103
j20,q0,103,96,10,96,106
