ID,Max Queue Size,# of servers,Function,service,sources,Edges in,Edges out
0,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q47', 'Q52', 'Q53', 'Q72', 'Q87', 'Q91', 'Q118', 'Q125', 'Q132', 'Q193', 'Q235', 'Q279', 'Q298', 'Q314', 'Q321', 'Q345', 'Q4037']","['Q-1', 'Q47', 'Q52', 'Q53', 'Q72', 'Q87', 'Q91', 'Q118', 'Q125', 'Q132', 'Q193', 'Q235', 'Q279', 'Q298', 'Q314', 'Q321', 'Q345']"
1,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q19', 'Q114', 'Q115', 'Q148', 'Q225', 'Q311', 'Q325', 'Q332', 'Q342', 'Q4037']","['Q-1', 'Q19', 'Q114', 'Q115', 'Q148', 'Q225', 'Q311', 'Q325', 'Q332', 'Q342']"
2,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q8', 'Q24', 'Q25', 'Q66', 'Q71', 'Q84', 'Q121', 'Q141', 'Q169', 'Q187', 'Q199', 'Q227', 'Q273', 'Q279', 'Q282', 'Q322', 'Q4037']","['Q-1', 'Q8', 'Q24', 'Q25', 'Q66', 'Q71', 'Q84', 'Q121', 'Q141', 'Q169', 'Q187', 'Q199', 'Q227', 'Q273', 'Q279', 'Q282', 'Q322']"
3,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q77', 'Q151', 'Q180', 'Q194', 'Q217', 'Q272', 'Q274', 'Q305', 'Q327', 'Q4037']","['Q-1', 'Q77', 'Q151', 'Q180', 'Q194', 'Q217', 'Q272', 'Q274', 'Q305', 'Q327']"
4,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q86', 'Q121', 'Q155', 'Q157', 'Q168', 'Q179', 'Q186', 'Q203', 'Q212', 'Q234', 'Q314', 'Q315', 'Q4037']","['Q-1', 'Q86', 'Q121', 'Q155', 'Q157', 'Q168', 'Q179', 'Q186', 'Q203', 'Q212', 'Q234', 'Q314', 'Q315']"
5,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q88', 'Q94', 'Q146', 'Q218', 'Q318', 'Q4037']","['Q-1', 'Q88', 'Q94', 'Q146', 'Q218', 'Q318']"
6,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q21', 'Q30', 'Q37', 'Q64', 'Q86', 'Q102', 'Q128', 'Q135', 'Q167', 'Q212', 'Q245', 'Q290', 'Q303', 'Q307', 'Q314', 'Q321', 'Q338', 'Q339', 'Q346', 'Q4037']","['Q-1', 'Q21', 'Q30', 'Q37', 'Q64', 'Q86', 'Q102', 'Q128', 'Q135', 'Q167', 'Q212', 'Q245', 'Q290', 'Q303', 'Q307', 'Q314', 'Q321', 'Q338', 'Q339', 'Q346']"
7,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q90', 'Q109', 'Q192', 'Q200', 'Q244', 'Q258', 'Q263', 'Q4037']","['Q-1', 'Q90', 'Q109', 'Q192', 'Q200', 'Q244', 'Q258', 'Q263']"
8,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q2', 'Q20', 'Q24', 'Q25', 'Q29', 'Q55', 'Q65', 'Q66', 'Q68', 'Q71', 'Q74', 'Q78', 'Q84', 'Q104', 'Q112', 'Q118', 'Q121', 'Q127', 'Q132', 'Q133', 'Q140', 'Q141', 'Q147', 'Q155', 'Q160', 'Q168', 'Q169', 'Q175', 'Q184', 'Q185', 'Q187', 'Q198', 'Q199', 'Q202', 'Q223', 'Q230', 'Q231', 'Q251', 'Q257', 'Q270', 'Q271', 'Q275', 'Q276', 'Q279', 'Q284', 'Q290', 'Q294', 'Q296', 'Q303', 'Q314', 'Q321', 'Q322', 'Q328', 'Q333', 'Q340', 'Q341', 'Q4037']","['Q-1', 'Q2', 'Q20', 'Q24', 'Q25', 'Q29', 'Q55', 'Q65', 'Q66', 'Q68', 'Q71', 'Q74', 'Q78', 'Q84', 'Q104', 'Q112', 'Q118', 'Q121', 'Q127', 'Q132', 'Q133', 'Q140', 'Q141', 'Q147', 'Q155', 'Q160', 'Q168', 'Q169', 'Q175', 'Q184', 'Q185', 'Q187', 'Q198', 'Q199', 'Q202', 'Q223', 'Q230', 'Q231', 'Q251', 'Q257', 'Q270', 'Q271', 'Q275', 'Q276', 'Q279', 'Q284', 'Q290', 'Q294', 'Q296', 'Q303', 'Q314', 'Q321', 'Q322', 'Q328', 'Q333', 'Q340', 'Q341']"
9,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q66', 'Q141', 'Q168', 'Q199', 'Q276', 'Q284', 'Q290', 'Q322', 'Q331', 'Q4037']","['Q-1', 'Q66', 'Q141', 'Q168', 'Q199', 'Q276', 'Q284', 'Q290', 'Q322', 'Q331']"
10,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,['Q4037'],['Q-1']
11,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,['Q4037'],['Q-1']
12,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q20', 'Q25', 'Q55', 'Q58', 'Q64', 'Q66', 'Q81', 'Q97', 'Q108', 'Q117', 'Q118', 'Q147', 'Q171', 'Q187', 'Q198', 'Q210', 'Q222', 'Q235', 'Q237', 'Q238', 'Q251', 'Q260', 'Q264', 'Q270', 'Q276', 'Q303', 'Q312', 'Q324', 'Q331', 'Q341', 'Q4037']","['Q-1', 'Q20', 'Q25', 'Q55', 'Q58', 'Q64', 'Q66', 'Q81', 'Q97', 'Q108', 'Q117', 'Q118', 'Q147', 'Q171', 'Q187', 'Q198', 'Q210', 'Q222', 'Q235', 'Q237', 'Q238', 'Q251', 'Q260', 'Q264', 'Q270', 'Q276', 'Q303', 'Q312', 'Q324', 'Q331', 'Q341']"
13,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q19', 'Q27', 'Q40', 'Q114', 'Q115', 'Q143', 'Q148', 'Q150', 'Q213', 'Q225', 'Q309', 'Q311', 'Q325', 'Q342', 'Q4037']","['Q-1', 'Q19', 'Q27', 'Q40', 'Q114', 'Q115', 'Q143', 'Q148', 'Q150', 'Q213', 'Q225', 'Q309', 'Q311', 'Q325', 'Q342']"
14,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,['Q4037'],['Q-1']
15,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q28', 'Q81', 'Q117', 'Q171', 'Q260', 'Q328', 'Q330', 'Q331', 'Q4037']","['Q-1', 'Q28', 'Q81', 'Q117', 'Q171', 'Q260', 'Q328', 'Q330', 'Q331']"
16,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q18', 'Q40', 'Q110', 'Q114', 'Q115', 'Q136', 'Q139', 'Q143', 'Q213', 'Q309', 'Q311', 'Q325', 'Q4037']","['Q-1', 'Q18', 'Q40', 'Q110', 'Q114', 'Q115', 'Q136', 'Q139', 'Q143', 'Q213', 'Q309', 'Q311', 'Q325']"
17,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,['Q4037'],['Q-1']
18,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q16', 'Q40', 'Q88', 'Q111', 'Q114', 'Q137', 'Q173', 'Q174', 'Q213', 'Q226', 'Q288', 'Q292', 'Q311', 'Q318', 'Q342', 'Q4037']","['Q-1', 'Q16', 'Q40', 'Q88', 'Q111', 'Q114', 'Q137', 'Q173', 'Q174', 'Q213', 'Q226', 'Q288', 'Q292', 'Q311', 'Q318', 'Q342']"
19,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q1', 'Q13', 'Q40', 'Q43', 'Q110', 'Q114', 'Q148', 'Q161', 'Q213', 'Q225', 'Q311', 'Q325', 'Q332', 'Q342', 'Q4037']","['Q-1', 'Q1', 'Q13', 'Q40', 'Q43', 'Q110', 'Q114', 'Q148', 'Q161', 'Q213', 'Q225', 'Q311', 'Q325', 'Q332', 'Q342']"
20,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q8', 'Q12', 'Q24', 'Q25', 'Q30', 'Q38', 'Q39', 'Q54', 'Q55', 'Q65', 'Q66', 'Q87', 'Q97', 'Q103', 'Q104', 'Q107', 'Q108', 'Q118', 'Q120', 'Q121', 'Q122', 'Q126', 'Q133', 'Q135', 'Q141', 'Q158', 'Q160', 'Q164', 'Q168', 'Q169', 'Q183', 'Q185', 'Q187', 'Q196', 'Q199', 'Q202', 'Q211', 'Q222', 'Q231', 'Q234', 'Q235', 'Q238', 'Q247', 'Q250', 'Q251', 'Q270', 'Q271', 'Q273', 'Q276', 'Q279', 'Q280', 'Q283', 'Q296', 'Q303', 'Q307', 'Q312', 'Q314', 'Q321', 'Q322', 'Q324', 'Q331', 'Q333', 'Q341', 'Q344', 'Q4037']","['Q-1', 'Q8', 'Q12', 'Q24', 'Q25', 'Q30', 'Q38', 'Q39', 'Q54', 'Q55', 'Q65', 'Q66', 'Q87', 'Q97', 'Q103', 'Q104', 'Q107', 'Q108', 'Q118', 'Q120', 'Q121', 'Q122', 'Q126', 'Q133', 'Q135', 'Q141', 'Q158', 'Q160', 'Q164', 'Q168', 'Q169', 'Q183', 'Q185', 'Q187', 'Q196', 'Q199', 'Q202', 'Q211', 'Q222', 'Q231', 'Q234', 'Q235', 'Q238', 'Q247', 'Q250', 'Q251', 'Q270', 'Q271', 'Q273', 'Q276', 'Q279', 'Q280', 'Q283', 'Q296', 'Q303', 'Q307', 'Q312', 'Q314', 'Q321', 'Q322', 'Q324', 'Q331', 'Q333', 'Q341', 'Q344']"
21,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q6', 'Q86', 'Q157', 'Q167', 'Q184', 'Q276', 'Q307', 'Q323', 'Q338', 'Q346', 'Q4037']","['Q-1', 'Q6', 'Q86', 'Q157', 'Q167', 'Q184', 'Q276', 'Q307', 'Q323', 'Q338', 'Q346']"
22,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q50', 'Q60', 'Q82', 'Q98', 'Q115', 'Q123', 'Q143', 'Q154', 'Q174', 'Q189', 'Q226', 'Q229', 'Q236', 'Q239', 'Q244', 'Q266', 'Q4037']","['Q-1', 'Q50', 'Q60', 'Q82', 'Q98', 'Q115', 'Q123', 'Q143', 'Q154', 'Q174', 'Q189', 'Q226', 'Q229', 'Q236', 'Q239', 'Q244', 'Q266']"
23,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q52', 'Q56', 'Q79', 'Q91', 'Q93', 'Q100', 'Q179', 'Q186', 'Q193', 'Q241', 'Q248', 'Q265', 'Q298', 'Q301', 'Q345', 'Q4037']","['Q-1', 'Q52', 'Q56', 'Q79', 'Q91', 'Q93', 'Q100', 'Q179', 'Q186', 'Q193', 'Q241', 'Q248', 'Q265', 'Q298', 'Q301', 'Q345']"
24,1000000,1,"""W 10"" -> ""Done"" in 10""",10,outC.wl,"['Q2', 'Q8', 'Q20', 'Q25', 'Q30', 'Q38', 'Q39', 'Q50', 'Q55', 'Q64', 'Q66', 'Q68', 'Q71', 'Q72', 'Q75', 'Q78', 'Q82', 'Q83', 'Q87', 'Q93', 'Q97', 'Q102', 'Q103', 'Q104', 'Q112', 'Q118', 'Q121', 'Q129', 'Q140', 'Q147', 'Q157', 'Q168', 'Q169', 'Q175', 'Q184', 'Q185', 'Q187', 'Q198', 'Q199', 'Q202', 'Q220', 'Q223', 'Q230', 'Q231', 'Q235', 'Q236', 'Q238', 'Q245', 'Q251', 'Q256', 'Q269', 'Q270', 'Q271', 'Q275', 'Q276', 'Q279', 'Q282', 'Q284', 'Q287', 'Q289', 'Q290', 'Q296', 'Q321', 'Q322', 'Q324', 'Q330', 'Q331', 'Q335', 'Q4037']","['Q-1', 'Q2', 'Q8', 'Q20', 'Q25', 'Q30', 'Q38', 'Q39', 'Q50', 'Q55', 'Q64', 'Q66', 'Q68', 'Q71', 'Q72', 'Q75', 'Q78', 'Q82', 'Q83', 'Q87', 'Q93', 'Q97', 'Q102', 'Q103', 'Q104', 'Q112', 'Q118', 'Q121', 'Q129', 'Q140', 'Q147', 'Q157', 'Q168', 'Q169', 'Q175', 'Q184', 'Q185', 'Q187', 'Q198', 'Q199', 'Q202', 'Q220', 'Q223', 'Q230', 'Q231', 'Q235', 'Q236', 'Q238', 'Q245', 'Q251', 'Q256', 'Q269', 'Q270', 'Q271', 'Q275', 'Q276', 'Q279', 'Q282', 'Q284', 'Q287', 'Q289', 'Q290', 'Q296', 'Q321', 'Q322', 'Q324', 'Q330', 'Q331', 'Q335']"
