job_id,arrival,tasks
j0,0,["1: W 10"]
j1,0,["1: W 10"]
j2,0,["1: W 10"]
j3,0,["1: W 10"]
j4,1,["1: W 10"]
j5,2,["1: W 10"]
j6,2,["1: W 10"]
j7,2,["1: W 10"]
j8,3,["1: W 10"]
j9,3,["1: W 10"]
j10,3,["1: W 10"]
j11,4,["1: W 10"]
j12,4,["1: W 10"]
j13,5,["1: W 10"]
j14,5,["1: W 10"]
j15,5,["1: W 10"]
j16,6,["1: W 10"]
j17,6,["1: W 10"]
j18,7,["1: W 10"]
j19,7,["1: W 10"]
j20,7,["1: W 10"]
j21,9,["1: W 10"]
j22,9,["1: W 10"]
j23,10,["1: W 10"]
j24,10,["1: W 10"]
j25,10,["1: W 10"]
j26,10,["1: W 10"]
j27,11,["1: W 10"]
j28,11,["1: W 10"]
j29,12,["1: W 10"]
j30,13,["1: W 10"]
j31,13,["1: W 10"]
j32,13,["1: W 10"]
j33,14,["1: W 10"]
j34,14,["1: W 10"]
j35,14,["1: W 10"]
j36,14,["1: W 10"]
j37,15,["1: W 10"]
j38,15,["1: W 10"]
j39,15,["1: W 10"]
j40,15,["1: W 10"]
j41,16,["1: W 10"]
j42,17,["1: W 10"]
j43,17,["1: W 10"]
j44,18,["1: W 10"]
j45,18,["1: W 10"]
j46,18,["1: W 10"]
j47,19,["1: W 10"]
j48,19,["1: W 10"]
j49,20,["1: W 10"]
j50,20,["1: W 10"]
j51,20,["1: W 10"]
j52,21,["1: W 10"]
j53,21,["1: W 10"]
j54,21,["1: W 10"]
j55,21,["1: W 10"]
j56,22,["1: W 10"]
j57,23,["1: W 10"]
j58,23,["1: W 10"]
j59,23,["1: W 10"]
j60,24,["1: W 10"]
j61,24,["1: W 10"]
j62,24,["1: W 10"]
j63,25,["1: W 10"]
j64,25,["1: W 10"]
j65,25,["1: W 10"]
j66,26,["1: W 10"]
j67,26,["1: W 10"]
j68,26,["1: W 10"]
j69,26,["1: W 10"]
j70,26,["1: W 10"]
j71,28,["1: W 10"]
j72,29,["1: W 10"]
j73,29,["1: W 10"]
j74,29,["1: W 10"]
j75,29,["1: W 10"]
j76,30,["1: W 10"]
j77,30,["1: W 10"]
j78,30,["1: W 10"]
j79,31,["1: W 10"]
j80,32,["1: W 10"]
j81,32,["1: W 10"]
j82,32,["1: W 10"]
j83,32,["1: W 10"]
j84,32,["1: W 10"]
j85,32,["1: W 10"]
j86,32,["1: W 10"]
j87,33,["1: W 10"]
j88,33,["1: W 10"]
j89,33,["1: W 10"]
j90,34,["1: W 10"]
j91,34,["1: W 10"]
j92,34,["1: W 10"]
j93,34,["1: W 10"]
j94,35,["1: W 10"]
j95,35,["1: W 10"]
j96,36,["1: W 10"]
j97,37,["1: W 10"]
j98,37,["1: W 10"]
j99,37,["1: W 10"]
j100,37,["1: W 10"]
j101,38,["1: W 10"]
j102,38,["1: W 10"]
j103,38,["1: W 10"]
j104,38,["1: W 10"]
j105,39,["1: W 10"]
j106,40,["1: W 10"]
j107,40,["1: W 10"]
j108,41,["1: W 10"]
j109,41,["1: W 10"]
j110,41,["1: W 10"]
j111,42,["1: W 10"]
j112,42,["1: W 10"]
j113,42,["1: W 10"]
j114,42,["1: W 10"]
j115,42,["1: W 10"]
j116,43,["1: W 10"]
j117,43,["1: W 10"]
j118,43,["1: W 10"]
